,PARAMETER,YEAR,MONTH,Surface Pressure (kPa),DATE,PARAMETER,YEAR,MONTH,Dew/Frost Point at 2 Meters (C),DATE,PARAMETER,YEAR,MONTH,Precipitation Corrected (mm/day),DATE,PARAMETER,YEAR,MONTH, Precipitation Corrected Sum (mm),DATE,PARAMETER,YEAR,MONTH,Wind Speed at 2 Meters (m/s),DATE,PARAMETER,YEAR,MONTH,Relative Humidity at 2 Meters (%),DATE,PARAMETER,YEAR,MONTH,Specific Humidity at 2 Meters (g/kg),DATE,PARAMETER,YEAR,MONTH,Temperature at 2 Meters (C),DATE,PARAMETER,YEAR,MONTH,Wind Speed at 10 Meters (m/s),DATE
10,PS,1990,NOV,98.64,11/1/1990,T2MDEW,1990,NOV,15.57,11/1/1990,PRECTOTCORR,1990,NOV,0,11/1/1990,PRECTOTCORR_SUM,1990,NOV,0,11/1/1990,WS2M,1990,NOV,1.54,11/1/1990,RH2M,1990,NOV,50.81,11/1/1990,QV2M,1990,NOV,11.6,11/1/1990,T2M,1990,NOV,28.18,11/1/1990,WS10M,1990,NOV,2.44,11/1/1990
11,PS,1990,DEC,98.64,12/1/1990,T2MDEW,1990,DEC,10.4,12/1/1990,PRECTOTCORR,1990,DEC,0,12/1/1990,PRECTOTCORR_SUM,1990,DEC,0,12/1/1990,WS2M,1990,DEC,1.64,12/1/1990,RH2M,1990,DEC,38.5,12/1/1990,QV2M,1990,DEC,8.48,12/1/1990,T2M,1990,DEC,27.42,12/1/1990,WS10M,1990,DEC,2.56,12/1/1990
12,PS,1991,JAN,98.79,1/1/1991,T2MDEW,1991,JAN,3.53,1/1/1991,PRECTOTCORR,1991,JAN,0,1/1/1991,PRECTOTCORR_SUM,1991,JAN,0,1/1/1991,WS2M,1991,JAN,2.17,1/1/1991,RH2M,1991,JAN,26.12,1/1/1991,QV2M,1991,JAN,5.07,1/1/1991,T2M,1991,JAN,25.69,1/1/1991,WS10M,1991,JAN,3.33,1/1/1991
13,PS,1991,FEB,98.54,2/1/1991,T2MDEW,1991,FEB,10.07,2/1/1991,PRECTOTCORR,1991,FEB,0,2/1/1991,PRECTOTCORR_SUM,1991,FEB,0,2/1/1991,WS2M,1991,FEB,1.71,2/1/1991,RH2M,1991,FEB,30.38,2/1/1991,QV2M,1991,FEB,8.36,2/1/1991,T2M,1991,FEB,30.93,2/1/1991,WS10M,1991,FEB,2.55,2/1/1991
14,PS,1991,MAR,98.41,3/1/1991,T2MDEW,1991,MAR,12.69,3/1/1991,PRECTOTCORR,1991,MAR,0,3/1/1991,PRECTOTCORR_SUM,1991,MAR,21.09,3/1/1991,WS2M,1991,MAR,2.02,3/1/1991,RH2M,1991,MAR,36,3/1/1991,QV2M,1991,MAR,9.89,3/1/1991,T2M,1991,MAR,31.48,3/1/1991,WS10M,1991,MAR,2.94,3/1/1991
15,PS,1991,APR,98.39,4/1/1991,T2MDEW,1991,APR,17.14,4/1/1991,PRECTOTCORR,1991,APR,0,4/1/1991,PRECTOTCORR_SUM,1991,APR,26.37,4/1/1991,WS2M,1991,APR,2.6,4/1/1991,RH2M,1991,APR,44.25,4/1/1991,QV2M,1991,APR,13.18,4/1/1991,T2M,1991,APR,32.71,4/1/1991,WS10M,1991,APR,3.61,4/1/1991
16,PS,1991,MAY,98.57,5/1/1991,T2MDEW,1991,MAY,22.43,5/1/1991,PRECTOTCORR,1991,MAY,5.27,5/1/1991,PRECTOTCORR_SUM,1991,MAY,179.3,5/1/1991,WS2M,1991,MAY,2.03,5/1/1991,RH2M,1991,MAY,70.12,5/1/1991,QV2M,1991,MAY,17.4,5/1/1991,T2M,1991,MAY,29.02,5/1/1991,WS10M,1991,MAY,2.9,5/1/1991
17,PS,1991,JUN,98.73,6/1/1991,T2MDEW,1991,JUN,22.37,6/1/1991,PRECTOTCORR,1991,JUN,5.27,6/1/1991,PRECTOTCORR_SUM,1991,JUN,84.38,6/1/1991,WS2M,1991,JUN,2.02,6/1/1991,RH2M,1991,JUN,70.88,6/1/1991,QV2M,1991,JUN,17.21,6/1/1991,T2M,1991,JUN,28.63,6/1/1991,WS10M,1991,JUN,3.01,6/1/1991
18,PS,1991,JUL,98.86,7/1/1991,T2MDEW,1991,JUL,22.33,7/1/1991,PRECTOTCORR,1991,JUL,5.27,7/1/1991,PRECTOTCORR_SUM,1991,JUL,179.3,7/1/1991,WS2M,1991,JUL,1.62,7/1/1991,RH2M,1991,JUL,79.31,7/1/1991,QV2M,1991,JUL,17.15,7/1/1991,T2M,1991,JUL,26.47,7/1/1991,WS10M,1991,JUL,2.52,7/1/1991
19,PS,1991,AUG,98.86,8/1/1991,T2MDEW,1991,AUG,22.6,8/1/1991,PRECTOTCORR,1991,AUG,5.27,8/1/1991,PRECTOTCORR_SUM,1991,AUG,200.39,8/1/1991,WS2M,1991,AUG,1.58,8/1/1991,RH2M,1991,AUG,85.25,8/1/1991,QV2M,1991,AUG,17.46,8/1/1991,T2M,1991,AUG,25.42,8/1/1991,WS10M,1991,AUG,2.52,8/1/1991
20,PS,1991,SEP,98.84,9/1/1991,T2MDEW,1991,SEP,22.19,9/1/1991,PRECTOTCORR,1991,SEP,0,9/1/1991,PRECTOTCORR_SUM,1991,SEP,15.82,9/1/1991,WS2M,1991,SEP,1.34,9/1/1991,RH2M,1991,SEP,76.12,9/1/1991,QV2M,1991,SEP,17.03,9/1/1991,T2M,1991,SEP,27.08,9/1/1991,WS10M,1991,SEP,2.18,9/1/1991
21,PS,1991,OCT,98.71,10/1/1991,T2MDEW,1991,OCT,20.53,10/1/1991,PRECTOTCORR,1991,OCT,0,10/1/1991,PRECTOTCORR_SUM,1991,OCT,42.19,10/1/1991,WS2M,1991,OCT,1.46,10/1/1991,RH2M,1991,OCT,69.06,10/1/1991,QV2M,1991,OCT,15.5,10/1/1991,T2M,1991,OCT,27.41,10/1/1991,WS10M,1991,OCT,2.35,10/1/1991
22,PS,1991,NOV,98.76,11/1/1991,T2MDEW,1991,NOV,12.63,11/1/1991,PRECTOTCORR,1991,NOV,0,11/1/1991,PRECTOTCORR_SUM,1991,NOV,0,11/1/1991,WS2M,1991,NOV,1.7,11/1/1991,RH2M,1991,NOV,49.62,11/1/1991,QV2M,1991,NOV,9.46,11/1/1991,T2M,1991,NOV,25.57,11/1/1991,WS10M,1991,NOV,2.85,11/1/1991
23,PS,1991,DEC,98.86,12/1/1991,T2MDEW,1991,DEC,6.96,12/1/1991,PRECTOTCORR,1991,DEC,0,12/1/1991,PRECTOTCORR_SUM,1991,DEC,0,12/1/1991,WS2M,1991,DEC,2.23,12/1/1991,RH2M,1991,DEC,38.19,12/1/1991,QV2M,1991,DEC,6.53,12/1/1991,T2M,1991,DEC,23.47,12/1/1991,WS10M,1991,DEC,3.51,12/1/1991
24,PS,1992,JAN,98.9,1/1/1992,T2MDEW,1992,JAN,2.01,1/1/1992,PRECTOTCORR,1992,JAN,0,1/1/1992,PRECTOTCORR_SUM,1992,JAN,0,1/1/1992,WS2M,1992,JAN,2.63,1/1/1992,RH2M,1992,JAN,27.56,1/1/1992,QV2M,1992,JAN,4.58,1/1/1992,T2M,1992,JAN,23.03,1/1/1992,WS10M,1992,JAN,3.98,1/1/1992
25,PS,1992,FEB,98.83,2/1/1992,T2MDEW,1992,FEB,-1.27,2/1/1992,PRECTOTCORR,1992,FEB,0,2/1/1992,PRECTOTCORR_SUM,1992,FEB,0,2/1/1992,WS2M,1992,FEB,3,2/1/1992,RH2M,1992,FEB,18.06,2/1/1992,QV2M,1992,FEB,3.54,2/1/1992,T2M,1992,FEB,26.23,2/1/1992,WS10M,1992,FEB,4.39,2/1/1992
26,PS,1992,MAR,98.47,3/1/1992,T2MDEW,1992,MAR,4.43,3/1/1992,PRECTOTCORR,1992,MAR,0,3/1/1992,PRECTOTCORR_SUM,1992,MAR,0,3/1/1992,WS2M,1992,MAR,2.05,3/1/1992,RH2M,1992,MAR,21.25,3/1/1992,QV2M,1992,MAR,5.74,3/1/1992,T2M,1992,MAR,31.07,3/1/1992,WS10M,1992,MAR,3,3/1/1992
27,PS,1992,APR,98.45,4/1/1992,T2MDEW,1992,APR,17.21,4/1/1992,PRECTOTCORR,1992,APR,0,4/1/1992,PRECTOTCORR_SUM,1992,APR,21.09,4/1/1992,WS2M,1992,APR,2.59,4/1/1992,RH2M,1992,APR,45.88,4/1/1992,QV2M,1992,APR,13.06,4/1/1992,T2M,1992,APR,32.12,4/1/1992,WS10M,1992,APR,3.62,4/1/1992
28,PS,1992,MAY,98.54,5/1/1992,T2MDEW,1992,MAY,20.72,5/1/1992,PRECTOTCORR,1992,MAY,0,5/1/1992,PRECTOTCORR_SUM,1992,MAY,47.46,5/1/1992,WS2M,1992,MAY,2.67,5/1/1992,RH2M,1992,MAY,56.5,5/1/1992,QV2M,1992,MAY,15.62,5/1/1992,T2M,1992,MAY,31.15,5/1/1992,WS10M,1992,MAY,3.73,5/1/1992
29,PS,1992,JUN,98.71,6/1/1992,T2MDEW,1992,JUN,21.25,6/1/1992,PRECTOTCORR,1992,JUN,0,6/1/1992,PRECTOTCORR_SUM,1992,JUN,52.73,6/1/1992,WS2M,1992,JUN,2.31,6/1/1992,RH2M,1992,JUN,63.31,6/1/1992,QV2M,1992,JUN,16.11,6/1/1992,T2M,1992,JUN,29.58,6/1/1992,WS10M,1992,JUN,3.37,6/1/1992
30,PS,1992,JUL,98.88,7/1/1992,T2MDEW,1992,JUL,21.7,7/1/1992,PRECTOTCORR,1992,JUL,5.27,7/1/1992,PRECTOTCORR_SUM,1992,JUL,174.02,7/1/1992,WS2M,1992,JUL,1.71,7/1/1992,RH2M,1992,JUL,74.88,7/1/1992,QV2M,1992,JUL,16.54,7/1/1992,T2M,1992,JUL,26.92,7/1/1992,WS10M,1992,JUL,2.64,7/1/1992
31,PS,1992,AUG,98.9,8/1/1992,T2MDEW,1992,AUG,22.15,8/1/1992,PRECTOTCORR,1992,AUG,10.55,8/1/1992,PRECTOTCORR_SUM,1992,AUG,247.85,8/1/1992,WS2M,1992,AUG,1.66,8/1/1992,RH2M,1992,AUG,81.62,8/1/1992,QV2M,1992,AUG,16.97,8/1/1992,T2M,1992,AUG,25.75,8/1/1992,WS10M,1992,AUG,2.62,8/1/1992
32,PS,1992,SEP,98.75,9/1/1992,T2MDEW,1992,SEP,21.93,9/1/1992,PRECTOTCORR,1992,SEP,5.27,9/1/1992,PRECTOTCORR_SUM,1992,SEP,121.29,9/1/1992,WS2M,1992,SEP,1.34,9/1/1992,RH2M,1992,SEP,78.62,9/1/1992,QV2M,1992,SEP,16.78,9/1/1992,T2M,1992,SEP,26.24,9/1/1992,WS10M,1992,SEP,2.2,9/1/1992
33,PS,1992,OCT,98.72,10/1/1992,T2MDEW,1992,OCT,18.94,10/1/1992,PRECTOTCORR,1992,OCT,0,10/1/1992,PRECTOTCORR_SUM,1992,OCT,5.27,10/1/1992,WS2M,1992,OCT,1.57,10/1/1992,RH2M,1992,OCT,62.5,10/1/1992,QV2M,1992,OCT,14.1,10/1/1992,T2M,1992,OCT,27.85,10/1/1992,WS10M,1992,OCT,2.55,10/1/1992
34,PS,1992,NOV,98.76,11/1/1992,T2MDEW,1992,NOV,11.6,11/1/1992,PRECTOTCORR,1992,NOV,0,11/1/1992,PRECTOTCORR_SUM,1992,NOV,0,11/1/1992,WS2M,1992,NOV,1.89,11/1/1992,RH2M,1992,NOV,46.69,11/1/1992,QV2M,1992,NOV,9.09,11/1/1992,T2M,1992,NOV,25.5,11/1/1992,WS10M,1992,NOV,3.02,11/1/1992
35,PS,1992,DEC,98.81,12/1/1992,T2MDEW,1992,DEC,6.45,12/1/1992,PRECTOTCORR,1992,DEC,0,12/1/1992,PRECTOTCORR_SUM,1992,DEC,0,12/1/1992,WS2M,1992,DEC,1.86,12/1/1992,RH2M,1992,DEC,37.31,12/1/1992,QV2M,1992,DEC,6.29,12/1/1992,T2M,1992,DEC,23.51,12/1/1992,WS10M,1992,DEC,3.02,12/1/1992
36,PS,1993,JAN,98.97,1/1/1993,T2MDEW,1993,JAN,0.74,1/1/1993,PRECTOTCORR,1993,JAN,0,1/1/1993,PRECTOTCORR_SUM,1993,JAN,0,1/1/1993,WS2M,1993,JAN,2.77,1/1/1993,RH2M,1993,JAN,25.81,1/1/1993,QV2M,1993,JAN,4.15,1/1/1993,T2M,1993,JAN,22.51,1/1/1993,WS10M,1993,JAN,4.17,1/1/1993
37,PS,1993,FEB,98.67,2/1/1993,T2MDEW,1993,FEB,2.21,2/1/1993,PRECTOTCORR,1993,FEB,0,2/1/1993,PRECTOTCORR_SUM,1993,FEB,0,2/1/1993,WS2M,1993,FEB,2.41,2/1/1993,RH2M,1993,FEB,21.94,2/1/1993,QV2M,1993,FEB,4.94,2/1/1993,T2M,1993,FEB,27.62,2/1/1993,WS10M,1993,FEB,3.58,2/1/1993
38,PS,1993,MAR,98.59,3/1/1993,T2MDEW,1993,MAR,7.89,3/1/1993,PRECTOTCORR,1993,MAR,0,3/1/1993,PRECTOTCORR_SUM,1993,MAR,0,3/1/1993,WS2M,1993,MAR,2.56,3/1/1993,RH2M,1993,MAR,29.69,3/1/1993,QV2M,1993,MAR,8.06,3/1/1993,T2M,1993,MAR,30.38,3/1/1993,WS10M,1993,MAR,3.66,3/1/1993
39,PS,1993,APR,98.37,4/1/1993,T2MDEW,1993,APR,11.99,4/1/1993,PRECTOTCORR,1993,APR,0,4/1/1993,PRECTOTCORR_SUM,1993,APR,15.82,4/1/1993,WS2M,1993,APR,2.52,4/1/1993,RH2M,1993,APR,33.56,4/1/1993,QV2M,1993,APR,10.19,4/1/1993,T2M,1993,APR,32.89,4/1/1993,WS10M,1993,APR,3.56,4/1/1993
40,PS,1993,MAY,98.45,5/1/1993,T2MDEW,1993,MAY,21.65,5/1/1993,PRECTOTCORR,1993,MAY,0,5/1/1993,PRECTOTCORR_SUM,1993,MAY,58.01,5/1/1993,WS2M,1993,MAY,2.71,5/1/1993,RH2M,1993,MAY,57.69,5/1/1993,QV2M,1993,MAY,16.54,5/1/1993,T2M,1993,MAY,31.71,5/1/1993,WS10M,1993,MAY,3.8,5/1/1993
41,PS,1993,JUN,98.75,6/1/1993,T2MDEW,1993,JUN,20.73,6/1/1993,PRECTOTCORR,1993,JUN,0,6/1/1993,PRECTOTCORR_SUM,1993,JUN,73.83,6/1/1993,WS2M,1993,JUN,2.3,6/1/1993,RH2M,1993,JUN,60.31,6/1/1993,QV2M,1993,JUN,15.62,6/1/1993,T2M,1993,JUN,30,6/1/1993,WS10M,1993,JUN,3.34,6/1/1993
42,PS,1993,JUL,98.81,7/1/1993,T2MDEW,1993,JUL,22.02,7/1/1993,PRECTOTCORR,1993,JUL,5.27,7/1/1993,PRECTOTCORR_SUM,1993,JUL,195.12,7/1/1993,WS2M,1993,JUL,1.69,7/1/1993,RH2M,1993,JUL,75.06,7/1/1993,QV2M,1993,JUL,16.85,7/1/1993,T2M,1993,JUL,27.15,7/1/1993,WS10M,1993,JUL,2.61,7/1/1993
43,PS,1993,AUG,98.85,8/1/1993,T2MDEW,1993,AUG,22.25,8/1/1993,PRECTOTCORR,1993,AUG,5.27,8/1/1993,PRECTOTCORR_SUM,1993,AUG,147.66,8/1/1993,WS2M,1993,AUG,1.39,8/1/1993,RH2M,1993,AUG,78.69,8/1/1993,QV2M,1993,AUG,17.09,8/1/1993,T2M,1993,AUG,26.55,8/1/1993,WS10M,1993,AUG,2.23,8/1/1993
44,PS,1993,SEP,98.77,9/1/1993,T2MDEW,1993,SEP,22.12,9/1/1993,PRECTOTCORR,1993,SEP,5.27,9/1/1993,PRECTOTCORR_SUM,1993,SEP,100.2,9/1/1993,WS2M,1993,SEP,1.45,9/1/1993,RH2M,1993,SEP,77.25,9/1/1993,QV2M,1993,SEP,16.97,9/1/1993,T2M,1993,SEP,26.81,9/1/1993,WS10M,1993,SEP,2.34,9/1/1993
45,PS,1993,OCT,98.67,10/1/1993,T2MDEW,1993,OCT,19.57,10/1/1993,PRECTOTCORR,1993,OCT,0,10/1/1993,PRECTOTCORR_SUM,1993,OCT,15.82,10/1/1993,WS2M,1993,OCT,1.71,10/1/1993,RH2M,1993,OCT,60.69,10/1/1993,QV2M,1993,OCT,14.65,10/1/1993,T2M,1993,OCT,29.19,10/1/1993,WS10M,1993,OCT,2.69,10/1/1993
46,PS,1993,NOV,98.55,11/1/1993,T2MDEW,1993,NOV,13.91,11/1/1993,PRECTOTCORR,1993,NOV,0,11/1/1993,PRECTOTCORR_SUM,1993,NOV,0,11/1/1993,WS2M,1993,NOV,1.65,11/1/1993,RH2M,1993,NOV,45.56,11/1/1993,QV2M,1993,NOV,10.38,11/1/1993,T2M,1993,NOV,28.71,11/1/1993,WS10M,1993,NOV,2.66,11/1/1993
47,PS,1993,DEC,98.75,12/1/1993,T2MDEW,1993,DEC,6.85,12/1/1993,PRECTOTCORR,1993,DEC,0,12/1/1993,PRECTOTCORR_SUM,1993,DEC,0,12/1/1993,WS2M,1993,DEC,2.15,12/1/1993,RH2M,1993,DEC,34.25,12/1/1993,QV2M,1993,DEC,6.77,12/1/1993,T2M,1993,DEC,25.47,12/1/1993,WS10M,1993,DEC,3.34,12/1/1993
48,PS,1994,JAN,98.7,1/1/1994,T2MDEW,1994,JAN,3.51,1/1/1994,PRECTOTCORR,1994,JAN,0,1/1/1994,PRECTOTCORR_SUM,1994,JAN,0,1/1/1994,WS2M,1994,JAN,2.41,1/1/1994,RH2M,1994,JAN,26.88,1/1/1994,QV2M,1994,JAN,5.31,1/1/1994,T2M,1994,JAN,25.58,1/1/1994,WS10M,1994,JAN,3.61,1/1/1994
49,PS,1994,FEB,98.72,2/1/1994,T2MDEW,1994,FEB,-1.03,2/1/1994,PRECTOTCORR,1994,FEB,0,2/1/1994,PRECTOTCORR_SUM,1994,FEB,0,2/1/1994,WS2M,1994,FEB,2.59,2/1/1994,RH2M,1994,FEB,18.56,2/1/1994,QV2M,1994,FEB,3.66,2/1/1994,T2M,1994,FEB,26.64,2/1/1994,WS10M,1994,FEB,3.88,2/1/1994
50,PS,1994,MAR,98.46,3/1/1994,T2MDEW,1994,MAR,11.65,3/1/1994,PRECTOTCORR,1994,MAR,0,3/1/1994,PRECTOTCORR_SUM,1994,MAR,10.55,3/1/1994,WS2M,1994,MAR,1.97,3/1/1994,RH2M,1994,MAR,33.12,3/1/1994,QV2M,1994,MAR,9.34,3/1/1994,T2M,1994,MAR,31.91,3/1/1994,WS10M,1994,MAR,2.88,3/1/1994
51,PS,1994,APR,98.35,4/1/1994,T2MDEW,1994,APR,16.52,4/1/1994,PRECTOTCORR,1994,APR,0,4/1/1994,PRECTOTCORR_SUM,1994,APR,31.64,4/1/1994,WS2M,1994,APR,2.65,4/1/1994,RH2M,1994,APR,42.38,4/1/1994,QV2M,1994,APR,12.82,4/1/1994,T2M,1994,APR,33.03,4/1/1994,WS10M,1994,APR,3.69,4/1/1994
52,PS,1994,MAY,98.57,5/1/1994,T2MDEW,1994,MAY,20.75,5/1/1994,PRECTOTCORR,1994,MAY,0,5/1/1994,PRECTOTCORR_SUM,1994,MAY,68.55,5/1/1994,WS2M,1994,MAY,2.33,5/1/1994,RH2M,1994,MAY,56.88,5/1/1994,QV2M,1994,MAY,15.69,5/1/1994,T2M,1994,MAY,31.12,5/1/1994,WS10M,1994,MAY,3.3,5/1/1994
53,PS,1994,JUN,98.74,6/1/1994,T2MDEW,1994,JUN,20.99,6/1/1994,PRECTOTCORR,1994,JUN,0,6/1/1994,PRECTOTCORR_SUM,1994,JUN,63.28,6/1/1994,WS2M,1994,JUN,2.28,6/1/1994,RH2M,1994,JUN,63.19,6/1/1994,QV2M,1994,JUN,15.87,6/1/1994,T2M,1994,JUN,29.37,6/1/1994,WS10M,1994,JUN,3.33,6/1/1994
54,PS,1994,JUL,98.82,7/1/1994,T2MDEW,1994,JUL,21.85,7/1/1994,PRECTOTCORR,1994,JUL,5.27,7/1/1994,PRECTOTCORR_SUM,1994,JUL,205.66,7/1/1994,WS2M,1994,JUL,2.06,7/1/1994,RH2M,1994,JUL,75.12,7/1/1994,QV2M,1994,JUL,16.66,7/1/1994,T2M,1994,JUL,27.02,7/1/1994,WS10M,1994,JUL,3.16,7/1/1994
55,PS,1994,AUG,98.78,8/1/1994,T2MDEW,1994,AUG,22.64,8/1/1994,PRECTOTCORR,1994,AUG,10.55,8/1/1994,PRECTOTCORR_SUM,1994,AUG,279.49,8/1/1994,WS2M,1994,AUG,1.7,8/1/1994,RH2M,1994,AUG,85.69,8/1/1994,QV2M,1994,AUG,17.46,8/1/1994,T2M,1994,AUG,25.36,8/1/1994,WS10M,1994,AUG,2.71,8/1/1994
56,PS,1994,SEP,98.78,9/1/1994,T2MDEW,1994,SEP,22.92,9/1/1994,PRECTOTCORR,1994,SEP,5.27,9/1/1994,PRECTOTCORR_SUM,1994,SEP,174.02,9/1/1994,WS2M,1994,SEP,1.4,9/1/1994,RH2M,1994,SEP,82.81,9/1/1994,QV2M,1994,SEP,17.82,9/1/1994,T2M,1994,SEP,26.3,9/1/1994,WS10M,1994,SEP,2.28,9/1/1994
57,PS,1994,OCT,98.7,10/1/1994,T2MDEW,1994,OCT,22.23,10/1/1994,PRECTOTCORR,1994,OCT,0,10/1/1994,PRECTOTCORR_SUM,1994,OCT,47.46,10/1/1994,WS2M,1994,OCT,1.19,10/1/1994,RH2M,1994,OCT,77.75,10/1/1994,QV2M,1994,OCT,17.09,10/1/1994,T2M,1994,OCT,26.76,10/1/1994,WS10M,1994,OCT,1.95,10/1/1994
58,PS,1994,NOV,98.85,11/1/1994,T2MDEW,1994,NOV,13.93,11/1/1994,PRECTOTCORR,1994,NOV,0,11/1/1994,PRECTOTCORR_SUM,1994,NOV,0,11/1/1994,WS2M,1994,NOV,1.73,11/1/1994,RH2M,1994,NOV,58.12,11/1/1994,QV2M,1994,NOV,10.31,11/1/1994,T2M,1994,NOV,23.9,11/1/1994,WS10M,1994,NOV,2.89,11/1/1994
59,PS,1994,DEC,99.01,12/1/1994,T2MDEW,1994,DEC,7.9,12/1/1994,PRECTOTCORR,1994,DEC,0,12/1/1994,PRECTOTCORR_SUM,1994,DEC,0,12/1/1994,WS2M,1994,DEC,2.48,12/1/1994,RH2M,1994,DEC,48.5,12/1/1994,QV2M,1994,DEC,6.84,12/1/1994,T2M,1994,DEC,20.67,12/1/1994,WS10M,1994,DEC,3.94,12/1/1994
